airport,month,day,wind_spd
EWR,6,15,3.7
LGA,7,8,4.5
JFK,7,25,6.1
EWR,7,8,4.6
EWR,5,10,2.6
LGA,5,12,6.5
JFK,5,31,4.5
LGA,6,24,3.7
EWR,8,29,2.9
EWR,5,6,2.1
EWR,6,13,4.3
LGA,9,18,3.0
EWR,4,28,2.8
JFK,6,28,5.9
LGA,7,9,3.1
EWR,7,20,5.8
LGA,7,30,4.1
JFK,9,3,3.9
EWR,4,26,2.8
LGA,4,27,2.9
LGA,4,28,4.2
JFK,5,25,9.6
LGA,6,3,3.5
LGA,7,12,5.3
JFK,9,22,6.8
EWR,5,11,3.6
LGA,9,14,5.3
JFK,5,13,7.5
JFK,6,22,4.4
LGA,8,3,3.9
JFK,9,23,5.2
EWR,7,17,2.2
EWR,7,19,6.0
JFK,8,4,4.7
EWR,6,25,4.8
EWR,7,29,3.3
EWR,9,2,1.6
LGA,9,26,3.5
EWR,6,8,4.7
JFK,7,14,4.8
EWR,9,26,3.1
JFK,5,7,3.6
EWR,6,17,3.9
JFK,9,18,3.4
LGA,4,24,4.7
EWR,7,9,3.8
LGA,6,21,4.3
JFK,7,30,4.1
EWR,9,7,3.1
JFK,7,4,4.6
JFK,8,6,3.9
EWR,5,21,4.2
LGA,6,18,3.6
JFK,7,12,5.2
JFK,6,12,7.0
EWR,6,12,6.0
LGA,7,16,4.1
LGA,9,1,3.8
EWR,4,30,3.0
JFK,6,15,4.1
LGA,6,19,4.1
JFK,9,9,4.0
EWR,9,17,4.3
EWR,6,4,5.6
EWR,9,10,4.8
JFK,4,29,3.9
LGA,5,10,3.0
LGA,7,21,3.7
JFK,7,5,4.6
LGA,8,18,2.5
EWR,9,1,3.0
EWR,5,4,3.2
LGA,5,20,2.7
EWR,6,28,5.2
JFK,5,3,4.0
EWR,5,8,3.2
EWR,5,1,3.1
LGA,6,20,4.4
EWR,6,10,3.2
LGA,8,9,4.9
JFK,7,27,3.9
EWR,8,3,4.1
LGA,8,30,4.0
JFK,4,30,4.5
EWR,8,23,4.5
EWR,5,18,1.7
JFK,8,16,3.0
EWR,5,16,3.3
LGA,7,18,3.2
LGA,9,7,3.4
JFK,5,1,3.8
EWR,8,24,4.2
EWR,8,30,4.5
EWR,5,30,4.3
EWR,6,16,4.7
EWR,7,14,3.3
EWR,8,5,3.8
LGA,8,24,4.3
JFK,9,17,5.2
JFK,6,5,4.2
EWR,8,15,2.8
JFK,5,11,6.1
JFK,6,30,4.1
EWR,6,1,4.8
LGA,9,25,2.1
JFK,8,9,6.1
LGA,8,20,2.4
JFK,8,26,6.0
EWR,9,18,2.3
EWR,9,23,5.0
LGA,5,31,3.4
LGA,5,28,2.6
EWR,7,31,2.7
EWR,9,28,3.2
